AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
1.873339,64067.30859,9.793585,1.771833,152.935654,274.413422,1.055144,623347.9375,37614.19922,62150.96875,0,0.328737,0.019837
1.871839,64067.26172,9.793585,1.770318,152.965469,274.468353,1.055144,623263.1875,37621.05078,62150.51172,0,0.328564,0.019833
1.870255,64067.22266,9.793585,1.768735,152.996475,274.525482,1.055145,623397.875,37631.36328,62149.5625,0,0.328502,0.01983
1.868565,64067.18359,9.793585,1.767027,153.029984,274.587341,1.055145,623261.0625,37635.74219,62148.62109,0,0.328286,0.019824
1.866885,64067.13672,9.793585,1.765351,153.062698,274.647766,1.055145,623415.5625,37647.59375,62147.78125,0,0.328227,0.019821
1.865435,64067.08203,9.793585,1.763892,153.091125,274.700073,1.055145,623322.75,37654.60938,62147.64063,0,0.328056,0.019818
1.86388,64067.04688,9.793585,1.762328,153.121628,274.756287,1.055146,623321.875,37660.91797,62146.59766,1.08465E+21,0.327925,0.019813
1.86248,64067,9.793585,1.760918,153.1492,274.806946,1.055146,623319.3125,37669.04297,62146.12109,69.917969,0.327806,0.01981
1.860986,64066.96484,9.793585,1.759414,153.178604,274.861053,1.055146,623323.9375,37675.83594,62145.24219,89.982422,0.327682,0.019806
1.859507,64066.92188,9.793585,1.757929,153.207657,274.914551,1.055146,623349,37683.46484,62144.46875,97.404297,0.327571,0.019803
1.858035,64066.87891,9.793587,1.756439,153.236923,274.968445,1.055146,623271.5625,37688.89063,62143.82031,-5.54759E+25,0.327405,0.019798
1.856524,64066.83984,9.793587,1.754924,153.266708,275.023315,1.055147,623370.5,37698.57813,62143.00781,36.639648,0.32733,0.019795
1.855044,64066.79688,9.793587,1.753426,153.296204,275.077667,1.055147,623286.625,37704.35547,62142.39063,0,0.32716,0.019791
1.853526,64066.75781,9.793587,1.751908,153.32605,275.13269,1.055147,623404,37714.125,62141.58594,63296.11328,0.327094,0.019788
1.851988,64066.71484,9.793587,1.750356,153.356522,275.188782,1.055147,623322.3125,37720.22266,62140.82813,62320.51563,0.326921,0.019784
1.850472,64066.67188,9.793587,1.748841,153.386169,275.243408,1.055148,623417.5,37729.48047,62140.21094,62319.57031,0.326845,0.019781
